"Accession_ID","Season","Block","Rep","DSR","Origin","Species"
"1",1,1,1,5,"Spain","carinata"
"1",1,2,1,10,"Spain","carinata"
"1",1,3,1,6,"Spain","carinata"
"1",1,1,2,9,"Spain","carinata"
"1",1,2,2,10,"Spain","carinata"
"1",1,3,2,8,"Spain","carinata"
"1",2,1,3,2,"Spain","carinata"
"1",2,2,3,3,"Spain","carinata"
"1",2,3,3,1,"Spain","carinata"
"1",2,1,4,3,"Spain","carinata"
"1",2,2,4,3,"Spain","carinata"
"1",2,3,4,3,"Spain","carinata"
"1",2,1,5,5,"Spain","carinata"
"1",2,2,5,6,"Spain","carinata"
"1",2,3,5,6,"Spain","carinata"
"2",1,1,1,7,"Spain","carinata"
"2",1,2,1,7,"Spain","carinata"
"2",1,3,1,7,"Spain","carinata"
"2",1,1,2,9,"Spain","carinata"
"2",1,2,2,10,"Spain","carinata"
"2",1,3,2,10,"Spain","carinata"
"2",2,1,3,1,"Spain","carinata"
"2",2,2,3,2,"Spain","carinata"
"2",2,3,3,2,"Spain","carinata"
"2",2,1,4,4,"Spain","carinata"
"2",2,2,4,5,"Spain","carinata"
"2",2,3,4,4,"Spain","carinata"
"2",2,1,5,6,"Spain","carinata"
"2",2,2,5,7,"Spain","carinata"
"2",2,3,5,7,"Spain","carinata"
"3",1,1,1,7,"Spain","carinata"
"3",1,2,1,7,"Spain","carinata"
"3",1,3,1,8,"Spain","carinata"
"3",1,1,2,10,"Spain","carinata"
"3",1,2,2,10,"Spain","carinata"
"3",1,3,2,10,"Spain","carinata"
"3",2,1,3,2,"Spain","carinata"
"3",2,2,3,2,"Spain","carinata"
"3",2,3,3,2,"Spain","carinata"
"3",2,1,4,5,"Spain","carinata"
"3",2,2,4,5,"Spain","carinata"
"3",2,3,4,4,"Spain","carinata"
"3",2,1,5,7,"Spain","carinata"
"3",2,2,5,7,"Spain","carinata"
"3",2,3,5,6,"Spain","carinata"
"4",1,1,1,5,"Spain","carinata"
"4",1,2,1,5,"Spain","carinata"
"4",1,3,1,4,"Spain","carinata"
"4",1,1,2,8,"Spain","carinata"
"4",1,2,2,8,"Spain","carinata"
"4",1,3,2,10,"Spain","carinata"
"4",2,1,3,2,"Spain","carinata"
"4",2,2,3,3,"Spain","carinata"
"4",2,3,3,4,"Spain","carinata"
"4",2,1,4,5,"Spain","carinata"
"4",2,2,4,5,"Spain","carinata"
"4",2,3,4,4,"Spain","carinata"
"4",2,1,5,7,"Spain","carinata"
"4",2,2,5,7,"Spain","carinata"
"4",2,3,5,7,"Spain","carinata"
"5",1,1,1,6,"Zambia","carinata"
"5",1,2,1,6,"Zambia","carinata"
"5",1,3,1,7,"Zambia","carinata"
"5",1,1,2,8,"Zambia","carinata"
"5",1,2,2,8,"Zambia","carinata"
"5",1,3,2,8,"Zambia","carinata"
"5",2,1,3,2,"Zambia","carinata"
"5",2,2,3,2,"Zambia","carinata"
"5",2,3,3,2,"Zambia","carinata"
"5",2,1,4,5,"Zambia","carinata"
"5",2,2,4,5,"Zambia","carinata"
"5",2,3,4,5,"Zambia","carinata"
"5",2,1,5,7,"Zambia","carinata"
"5",2,2,5,6,"Zambia","carinata"
"5",2,3,5,6,"Zambia","carinata"
"6",1,1,1,5,"Sweden","carinata"
"6",1,2,1,7,"Sweden","carinata"
"6",1,3,1,8,"Sweden","carinata"
"6",1,1,2,9,"Sweden","carinata"
"6",1,2,2,9,"Sweden","carinata"
"6",1,3,2,8,"Sweden","carinata"
"6",2,1,3,NA,"Sweden","carinata"
"6",2,2,3,3,"Sweden","carinata"
"6",2,3,3,2,"Sweden","carinata"
"6",2,1,4,NA,"Sweden","carinata"
"6",2,2,4,4,"Sweden","carinata"
"6",2,3,4,5,"Sweden","carinata"
"6",2,1,5,6,"Sweden","carinata"
"6",2,2,5,8,"Sweden","carinata"
"6",2,3,5,5,"Sweden","carinata"
"7",1,1,1,6,"Tanzania","carinata"
"7",1,2,1,8,"Tanzania","carinata"
"7",1,3,1,10,"Tanzania","carinata"
"7",1,1,2,9,"Tanzania","carinata"
"7",1,2,2,10,"Tanzania","carinata"
"7",1,3,2,10,"Tanzania","carinata"
"7",2,1,3,3,"Tanzania","carinata"
"7",2,2,3,2,"Tanzania","carinata"
"7",2,3,3,1,"Tanzania","carinata"
"7",2,1,4,5,"Tanzania","carinata"
"7",2,2,4,4,"Tanzania","carinata"
"7",2,3,4,5,"Tanzania","carinata"
"7",2,1,5,NA,"Tanzania","carinata"
"7",2,2,5,8,"Tanzania","carinata"
"7",2,3,5,8,"Tanzania","carinata"
"8",1,1,1,7,"Kenya","carinata"
"8",1,2,1,7,"Kenya","carinata"
"8",1,3,1,7,"Kenya","carinata"
"8",1,1,2,10,"Kenya","carinata"
"8",1,2,2,10,"Kenya","carinata"
"8",1,3,2,8,"Kenya","carinata"
"8",2,1,3,2,"Kenya","carinata"
"8",2,2,3,1,"Kenya","carinata"
"8",2,3,3,1,"Kenya","carinata"
"8",2,1,4,4,"Kenya","carinata"
"8",2,2,4,3,"Kenya","carinata"
"8",2,3,4,4,"Kenya","carinata"
"8",2,1,5,6,"Kenya","carinata"
"8",2,2,5,6,"Kenya","carinata"
"8",2,3,5,9,"Kenya","carinata"
"9",1,1,1,10,"Turkey","deflexa"
"9",1,2,1,10,"Turkey","deflexa"
"9",1,3,1,1,"Turkey","deflexa"
"9",1,1,2,10,"Turkey","deflexa"
"9",1,2,2,10,"Turkey","deflexa"
"9",1,3,2,10,"Turkey","deflexa"
"9",2,1,3,7,"Turkey","deflexa"
"9",2,2,3,3,"Turkey","deflexa"
"9",2,3,3,2,"Turkey","deflexa"
"9",2,1,4,10,"Turkey","deflexa"
"9",2,2,4,8,"Turkey","deflexa"
"9",2,3,4,9,"Turkey","deflexa"
"9",2,1,5,10,"Turkey","deflexa"
"9",2,2,5,10,"Turkey","deflexa"
"9",2,3,5,10,"Turkey","deflexa"
"10",1,1,1,8,"Iran","deflexa"
"10",1,2,1,10,"Iran","deflexa"
"10",1,3,1,2,"Iran","deflexa"
"10",1,1,2,10,"Iran","deflexa"
"10",1,2,2,10,"Iran","deflexa"
"10",1,3,2,8,"Iran","deflexa"
"10",2,1,3,6,"Iran","deflexa"
"10",2,2,3,3,"Iran","deflexa"
"10",2,3,3,5,"Iran","deflexa"
"10",2,1,4,9,"Iran","deflexa"
"10",2,2,4,10,"Iran","deflexa"
"10",2,3,4,7,"Iran","deflexa"
"10",2,1,5,10,"Iran","deflexa"
"10",2,2,5,10,"Iran","deflexa"
"10",2,3,5,10,"Iran","deflexa"
"11",1,1,1,6,"France","fruticulosa"
"11",1,2,1,5,"France","fruticulosa"
"11",1,3,1,3,"France","fruticulosa"
"11",1,1,2,5,"France","fruticulosa"
"11",1,2,2,3,"France","fruticulosa"
"11",1,3,2,6,"France","fruticulosa"
"11",2,1,3,2,"France","fruticulosa"
"11",2,2,3,1,"France","fruticulosa"
"11",2,3,3,2,"France","fruticulosa"
"11",2,1,4,4,"France","fruticulosa"
"11",2,2,4,3,"France","fruticulosa"
"11",2,3,4,4,"France","fruticulosa"
"11",2,1,5,6,"France","fruticulosa"
"11",2,2,5,5,"France","fruticulosa"
"11",2,3,5,7,"France","fruticulosa"
"12",1,1,1,5,"Algeria","fruticulosa"
"12",1,2,1,4,"Algeria","fruticulosa"
"12",1,3,1,3,"Algeria","fruticulosa"
"12",1,1,2,7,"Algeria","fruticulosa"
"12",1,2,2,3,"Algeria","fruticulosa"
"12",1,3,2,3,"Algeria","fruticulosa"
"12",2,1,3,1,"Algeria","fruticulosa"
"12",2,2,3,1,"Algeria","fruticulosa"
"12",2,3,3,1,"Algeria","fruticulosa"
"12",2,1,4,4,"Algeria","fruticulosa"
"12",2,2,4,2,"Algeria","fruticulosa"
"12",2,3,4,1,"Algeria","fruticulosa"
"12",2,1,5,5,"Algeria","fruticulosa"
"12",2,2,5,6,"Algeria","fruticulosa"
"12",2,3,5,3,"Algeria","fruticulosa"
"13",1,1,1,9,"Algeria","fruticulosa"
"13",1,2,1,10,"Algeria","fruticulosa"
"13",1,3,1,6,"Algeria","fruticulosa"
"13",1,1,2,10,"Algeria","fruticulosa"
"13",1,2,2,10,"Algeria","fruticulosa"
"13",1,3,2,10,"Algeria","fruticulosa"
"13",2,1,3,2,"Algeria","fruticulosa"
"13",2,2,3,1,"Algeria","fruticulosa"
"13",2,3,3,3,"Algeria","fruticulosa"
"13",2,1,4,5,"Algeria","fruticulosa"
"13",2,2,4,5,"Algeria","fruticulosa"
"13",2,3,4,4,"Algeria","fruticulosa"
"13",2,1,5,9,"Algeria","fruticulosa"
"13",2,2,5,10,"Algeria","fruticulosa"
"13",2,3,5,2,"Algeria","fruticulosa"
"14",1,1,1,4,"Algeria","gravinae"
"14",1,2,1,2,"Algeria","gravinae"
"14",1,3,1,1,"Algeria","gravinae"
"14",1,1,2,8,"Algeria","gravinae"
"14",1,2,2,1,"Algeria","gravinae"
"14",1,3,2,4,"Algeria","gravinae"
"14",2,1,3,1,"Algeria","gravinae"
"14",2,2,3,1,"Algeria","gravinae"
"14",2,3,3,1,"Algeria","gravinae"
"14",2,1,4,1,"Algeria","gravinae"
"14",2,2,4,2,"Algeria","gravinae"
"14",2,3,4,2,"Algeria","gravinae"
"14",2,1,5,2,"Algeria","gravinae"
"14",2,2,5,2,"Algeria","gravinae"
"14",2,3,5,5,"Algeria","gravinae"
"15",1,1,1,6,"Algeria","gravinae"
"15",1,2,1,5,"Algeria","gravinae"
"15",1,3,1,4,"Algeria","gravinae"
"15",1,1,2,4,"Algeria","gravinae"
"15",1,2,2,2,"Algeria","gravinae"
"15",1,3,2,5,"Algeria","gravinae"
"15",2,1,3,1,"Algeria","gravinae"
"15",2,2,3,1,"Algeria","gravinae"
"15",2,3,3,1,"Algeria","gravinae"
"15",2,1,4,1,"Algeria","gravinae"
"15",2,2,4,1,"Algeria","gravinae"
"15",2,3,4,1,"Algeria","gravinae"
"15",2,1,5,4,"Algeria","gravinae"
"15",2,2,5,1,"Algeria","gravinae"
"15",2,3,5,1,"Algeria","gravinae"
"16",1,1,1,NA,"Algeria","gravinae"
"16",1,2,1,5,"Algeria","gravinae"
"16",1,3,1,6,"Algeria","gravinae"
"16",1,1,2,NA,"Algeria","gravinae"
"16",1,2,2,3,"Algeria","gravinae"
"16",1,3,2,7,"Algeria","gravinae"
"16",2,1,3,5,"Algeria","gravinae"
"16",2,2,3,2,"Algeria","gravinae"
"16",2,3,3,1,"Algeria","gravinae"
"16",2,1,4,7,"Algeria","gravinae"
"16",2,2,4,2,"Algeria","gravinae"
"16",2,3,4,2,"Algeria","gravinae"
"16",2,1,5,3,"Algeria","gravinae"
"16",2,2,5,2,"Algeria","gravinae"
"16",2,3,5,2,"Algeria","gravinae"
"17",1,1,1,7,"Algeria","maurorum"
"17",1,2,1,9,"Algeria","maurorum"
"17",1,3,1,6,"Algeria","maurorum"
"17",1,1,2,10,"Algeria","maurorum"
"17",1,2,2,10,"Algeria","maurorum"
"17",1,3,2,8,"Algeria","maurorum"
"17",2,1,3,4,"Algeria","maurorum"
"17",2,2,3,2,"Algeria","maurorum"
"17",2,3,3,3,"Algeria","maurorum"
"17",2,1,4,7,"Algeria","maurorum"
"17",2,2,4,8,"Algeria","maurorum"
"17",2,3,4,5,"Algeria","maurorum"
"17",2,1,5,9,"Algeria","maurorum"
"17",2,2,5,8,"Algeria","maurorum"
"17",2,3,5,8,"Algeria","maurorum"
"18",1,1,1,8,"Portugal","oxyrrhina"
"18",1,2,1,9,"Portugal","oxyrrhina"
"18",1,3,1,9,"Portugal","oxyrrhina"
"18",1,1,2,9,"Portugal","oxyrrhina"
"18",1,2,2,10,"Portugal","oxyrrhina"
"18",1,3,2,10,"Portugal","oxyrrhina"
"18",2,1,3,2,"Portugal","oxyrrhina"
"18",2,2,3,4,"Portugal","oxyrrhina"
"18",2,3,3,3,"Portugal","oxyrrhina"
"18",2,1,4,4,"Portugal","oxyrrhina"
"18",2,2,4,7,"Portugal","oxyrrhina"
"18",2,3,4,7,"Portugal","oxyrrhina"
"18",2,1,5,10,"Portugal","oxyrrhina"
"18",2,2,5,9,"Portugal","oxyrrhina"
"18",2,3,5,10,"Portugal","oxyrrhina"
"19",1,1,1,7,"Taiwan","rapa"
"19",1,2,1,2,"Taiwan","rapa"
"19",1,3,1,6,"Taiwan","rapa"
"19",1,1,2,7,"Taiwan","rapa"
"19",1,2,2,1,"Taiwan","rapa"
"19",1,3,2,6,"Taiwan","rapa"
"19",2,1,3,1,"Taiwan","rapa"
"19",2,2,3,2,"Taiwan","rapa"
"19",2,3,3,2,"Taiwan","rapa"
"19",2,1,4,3,"Taiwan","rapa"
"19",2,2,4,5,"Taiwan","rapa"
"19",2,3,4,4,"Taiwan","rapa"
"19",2,1,5,4,"Taiwan","rapa"
"19",2,2,5,6,"Taiwan","rapa"
"19",2,3,5,4,"Taiwan","rapa"
"20",1,1,1,10,"Japan","rapa"
"20",1,2,1,9,"Japan","rapa"
"20",1,3,1,5,"Japan","rapa"
"20",1,1,2,10,"Japan","rapa"
"20",1,2,2,10,"Japan","rapa"
"20",1,3,2,10,"Japan","rapa"
"20",2,1,3,2,"Japan","rapa"
"20",2,2,3,2,"Japan","rapa"
"20",2,3,3,3,"Japan","rapa"
"20",2,1,4,5,"Japan","rapa"
"20",2,2,4,5,"Japan","rapa"
"20",2,3,4,7,"Japan","rapa"
"20",2,1,5,8,"Japan","rapa"
"20",2,2,5,9,"Japan","rapa"
"20",2,3,5,9,"Japan","rapa"
"21",1,1,1,10,"South Korea","rapa"
"21",1,2,1,7,"South Korea","rapa"
"21",1,3,1,9,"South Korea","rapa"
"21",1,1,2,10,"South Korea","rapa"
"21",1,2,2,10,"South Korea","rapa"
"21",1,3,2,10,"South Korea","rapa"
"21",2,1,3,2,"South Korea","rapa"
"21",2,2,3,3,"South Korea","rapa"
"21",2,3,3,4,"South Korea","rapa"
"21",2,1,4,5,"South Korea","rapa"
"21",2,2,4,3,"South Korea","rapa"
"21",2,3,4,4,"South Korea","rapa"
"21",2,1,5,7,"South Korea","rapa"
"21",2,2,5,6,"South Korea","rapa"
"21",2,3,5,6,"South Korea","rapa"
"22",1,1,1,6,"China","rapa"
"22",1,2,1,8,"China","rapa"
"22",1,3,1,5,"China","rapa"
"22",1,1,2,10,"China","rapa"
"22",1,2,2,NA,"China","rapa"
"22",1,3,2,7,"China","rapa"
"22",2,1,3,2,"China","rapa"
"22",2,2,3,2,"China","rapa"
"22",2,3,3,2,"China","rapa"
"22",2,1,4,6,"China","rapa"
"22",2,2,4,5,"China","rapa"
"22",2,3,4,4,"China","rapa"
"22",2,1,5,10,"China","rapa"
"22",2,2,5,7,"China","rapa"
"22",2,3,5,8,"China","rapa"
"23",1,1,1,9,"China","rapa"
"23",1,2,1,9,"China","rapa"
"23",1,3,1,6,"China","rapa"
"23",1,1,2,9,"China","rapa"
"23",1,2,2,10,"China","rapa"
"23",1,3,2,10,"China","rapa"
"23",2,1,3,3,"China","rapa"
"23",2,2,3,2,"China","rapa"
"23",2,3,3,2,"China","rapa"
"23",2,1,4,4,"China","rapa"
"23",2,2,4,5,"China","rapa"
"23",2,3,4,5,"China","rapa"
"23",2,1,5,5,"China","rapa"
"23",2,2,5,6,"China","rapa"
"23",2,3,5,7,"China","rapa"
"24",1,1,1,4,"China","rapa"
"24",1,2,1,8,"China","rapa"
"24",1,3,1,3,"China","rapa"
"24",1,1,2,9,"China","rapa"
"24",1,2,2,9,"China","rapa"
"24",1,3,2,6,"China","rapa"
"24",2,1,3,2,"China","rapa"
"24",2,2,3,4,"China","rapa"
"24",2,3,3,2,"China","rapa"
"24",2,1,4,4,"China","rapa"
"24",2,2,4,6,"China","rapa"
"24",2,3,4,5,"China","rapa"
"24",2,1,5,7,"China","rapa"
"24",2,2,5,10,"China","rapa"
"24",2,3,5,7,"China","rapa"
"25",1,1,1,8,"China","rapa"
"25",1,2,1,6,"China","rapa"
"25",1,3,1,7,"China","rapa"
"25",1,1,2,10,"China","rapa"
"25",1,2,2,10,"China","rapa"
"25",1,3,2,10,"China","rapa"
"25",2,1,3,3,"China","rapa"
"25",2,2,3,3,"China","rapa"
"25",2,3,3,4,"China","rapa"
"25",2,1,4,5,"China","rapa"
"25",2,2,4,6,"China","rapa"
"25",2,3,4,4,"China","rapa"
"25",2,1,5,6,"China","rapa"
"25",2,2,5,8,"China","rapa"
"25",2,3,5,6,"China","rapa"
"26",1,1,1,5,"China","rapa"
"26",1,2,1,10,"China","rapa"
"26",1,3,1,8,"China","rapa"
"26",1,1,2,8,"China","rapa"
"26",1,2,2,10,"China","rapa"
"26",1,3,2,10,"China","rapa"
"26",2,1,3,6,"China","rapa"
"26",2,2,3,3,"China","rapa"
"26",2,3,3,3,"China","rapa"
"26",2,1,4,7,"China","rapa"
"26",2,2,4,6,"China","rapa"
"26",2,3,4,5,"China","rapa"
"26",2,1,5,10,"China","rapa"
"26",2,2,5,6,"China","rapa"
"26",2,3,5,6,"China","rapa"
"27",1,1,1,8,"China","rapa"
"27",1,2,1,8,"China","rapa"
"27",1,3,1,9,"China","rapa"
"27",1,1,2,10,"China","rapa"
"27",1,2,2,10,"China","rapa"
"27",1,3,2,10,"China","rapa"
"27",2,1,3,4,"China","rapa"
"27",2,2,3,2,"China","rapa"
"27",2,3,3,4,"China","rapa"
"27",2,1,4,7,"China","rapa"
"27",2,2,4,NA,"China","rapa"
"27",2,3,4,5,"China","rapa"
"27",2,1,5,7,"China","rapa"
"27",2,2,5,7,"China","rapa"
"27",2,3,5,7,"China","rapa"
"28",1,1,1,9,"China","rapa"
"28",1,2,1,7,"China","rapa"
