"Accession_ID","Season","Block","Rep","DSR","Accession","Origin","Species"
"1",1,1,1,5,"PI 613125","Spain","carinata"
"1",1,2,1,10,"PI 613125","Spain","carinata"
"1",1,3,1,6,"PI 613125","Spain","carinata"
"1",1,1,2,9,"PI 613125","Spain","carinata"
"1",1,2,2,10,"PI 613125","Spain","carinata"
"1",1,3,2,8,"PI 613125","Spain","carinata"
"1",2,1,3,2,"PI 613125","Spain","carinata"
"1",2,2,3,3,"PI 613125","Spain","carinata"
"1",2,3,3,1,"PI 613125","Spain","carinata"
"1",2,1,4,3,"PI 613125","Spain","carinata"
"1",2,2,4,3,"PI 613125","Spain","carinata"
"1",2,3,4,3,"PI 613125","Spain","carinata"
"1",2,1,5,5,"PI 613125","Spain","carinata"
"1",2,2,5,6,"PI 613125","Spain","carinata"
"1",2,3,5,6,"PI 613125","Spain","carinata"
"2",1,1,1,7,"PI 613128","Spain","carinata"
"2",1,2,1,7,"PI 613128","Spain","carinata"
"2",1,3,1,7,"PI 613128","Spain","carinata"
"2",1,1,2,9,"PI 613128","Spain","carinata"
"2",1,2,2,10,"PI 613128","Spain","carinata"
"2",1,3,2,10,"PI 613128","Spain","carinata"
"2",2,1,3,1,"PI 613128","Spain","carinata"
"2",2,2,3,2,"PI 613128","Spain","carinata"
"2",2,3,3,2,"PI 613128","Spain","carinata"
"2",2,1,4,4,"PI 613128","Spain","carinata"
"2",2,2,4,5,"PI 613128","Spain","carinata"
"2",2,3,4,4,"PI 613128","Spain","carinata"
"2",2,1,5,6,"PI 613128","Spain","carinata"
"2",2,2,5,7,"PI 613128","Spain","carinata"
"2",2,3,5,7,"PI 613128","Spain","carinata"
"3",1,1,1,7,"PI 596534","Spain","carinata"
"3",1,2,1,7,"PI 596534","Spain","carinata"
"3",1,3,1,8,"PI 596534","Spain","carinata"
"3",1,1,2,10,"PI 596534","Spain","carinata"
"3",1,2,2,10,"PI 596534","Spain","carinata"
"3",1,3,2,10,"PI 596534","Spain","carinata"
"3",2,1,3,2,"PI 596534","Spain","carinata"
"3",2,2,3,2,"PI 596534","Spain","carinata"
"3",2,3,3,2,"PI 596534","Spain","carinata"
"3",2,1,4,5,"PI 596534","Spain","carinata"
"3",2,2,4,5,"PI 596534","Spain","carinata"
"3",2,3,4,4,"PI 596534","Spain","carinata"
"3",2,1,5,7,"PI 596534","Spain","carinata"
"3",2,2,5,7,"PI 596534","Spain","carinata"
"3",2,3,5,6,"PI 596534","Spain","carinata"
"4",1,1,1,5,"PI 596535","Spain","carinata"
"4",1,2,1,5,"PI 596535","Spain","carinata"
"4",1,3,1,4,"PI 596535","Spain","carinata"
"4",1,1,2,8,"PI 596535","Spain","carinata"
"4",1,2,2,8,"PI 596535","Spain","carinata"
"4",1,3,2,10,"PI 596535","Spain","carinata"
"4",2,1,3,2,"PI 596535","Spain","carinata"
"4",2,2,3,3,"PI 596535","Spain","carinata"
"4",2,3,3,4,"PI 596535","Spain","carinata"
"4",2,1,4,5,"PI 596535","Spain","carinata"
"4",2,2,4,5,"PI 596535","Spain","carinata"
"4",2,3,4,4,"PI 596535","Spain","carinata"
"4",2,1,5,7,"PI 596535","Spain","carinata"
"4",2,2,5,7,"PI 596535","Spain","carinata"
"4",2,3,5,7,"PI 596535","Spain","carinata"
"5",1,1,1,6,"PI 633080","Zambia","carinata"
"5",1,2,1,6,"PI 633080","Zambia","carinata"
"5",1,3,1,7,"PI 633080","Zambia","carinata"
"5",1,1,2,8,"PI 633080","Zambia","carinata"
"5",1,2,2,8,"PI 633080","Zambia","carinata"
"5",1,3,2,8,"PI 633080","Zambia","carinata"
"5",2,1,3,2,"PI 633080","Zambia","carinata"
"5",2,2,3,2,"PI 633080","Zambia","carinata"
"5",2,3,3,2,"PI 633080","Zambia","carinata"
"5",2,1,4,5,"PI 633080","Zambia","carinata"
"5",2,2,4,5,"PI 633080","Zambia","carinata"
"5",2,3,4,5,"PI 633080","Zambia","carinata"
"5",2,1,5,7,"PI 633080","Zambia","carinata"
"5",2,2,5,6,"PI 633080","Zambia","carinata"
"5",2,3,5,6,"PI 633080","Zambia","carinata"
"6",1,1,1,5,"PI 597822","Sweden","carinata"
"6",1,2,1,7,"PI 597822","Sweden","carinata"
"6",1,3,1,8,"PI 597822","Sweden","carinata"
"6",1,1,2,9,"PI 597822","Sweden","carinata"
"6",1,2,2,9,"PI 597822","Sweden","carinata"
"6",1,3,2,8,"PI 597822","Sweden","carinata"
"6",2,1,3,NA,"PI 597822","Sweden","carinata"
"6",2,2,3,3,"PI 597822","Sweden","carinata"
"6",2,3,3,2,"PI 597822","Sweden","carinata"
"6",2,1,4,NA,"PI 597822","Sweden","carinata"
"6",2,2,4,4,"PI 597822","Sweden","carinata"
"6",2,3,4,5,"PI 597822","Sweden","carinata"
"6",2,1,5,6,"PI 597822","Sweden","carinata"
"6",2,2,5,8,"PI 597822","Sweden","carinata"
"6",2,3,5,5,"PI 597822","Sweden","carinata"
"7",1,1,1,6,"PI 633075","Tanzania","carinata"
"7",1,2,1,8,"PI 633075","Tanzania","carinata"
"7",1,3,1,10,"PI 633075","Tanzania","carinata"
"7",1,1,2,9,"PI 633075","Tanzania","carinata"
"7",1,2,2,10,"PI 633075","Tanzania","carinata"
"7",1,3,2,10,"PI 633075","Tanzania","carinata"
"7",2,1,3,3,"PI 633075","Tanzania","carinata"
"7",2,2,3,2,"PI 633075","Tanzania","carinata"
"7",2,3,3,1,"PI 633075","Tanzania","carinata"
"7",2,1,4,5,"PI 633075","Tanzania","carinata"
"7",2,2,4,4,"PI 633075","Tanzania","carinata"
"7",2,3,4,5,"PI 633075","Tanzania","carinata"
"7",2,1,5,NA,"PI 633075","Tanzania","carinata"
"7",2,2,5,8,"PI 633075","Tanzania","carinata"
"7",2,3,5,8,"PI 633075","Tanzania","carinata"
"8",1,1,1,7,"PI 633076","Kenya","carinata"
"8",1,2,1,7,"PI 633076","Kenya","carinata"
"8",1,3,1,7,"PI 633076","Kenya","carinata"
"8",1,1,2,10,"PI 633076","Kenya","carinata"
"8",1,2,2,10,"PI 633076","Kenya","carinata"
"8",1,3,2,8,"PI 633076","Kenya","carinata"
"8",2,1,3,2,"PI 633076","Kenya","carinata"
"8",2,2,3,1,"PI 633076","Kenya","carinata"
"8",2,3,3,1,"PI 633076","Kenya","carinata"
"8",2,1,4,4,"PI 633076","Kenya","carinata"
"8",2,2,4,3,"PI 633076","Kenya","carinata"
"8",2,3,4,4,"PI 633076","Kenya","carinata"
"8",2,1,5,6,"PI 633076","Kenya","carinata"
"8",2,2,5,6,"PI 633076","Kenya","carinata"
"8",2,3,5,9,"PI 633076","Kenya","carinata"
"9",1,1,1,10,"PI 597823","Turkey","deflexa"
"9",1,2,1,10,"PI 597823","Turkey","deflexa"
"9",1,3,1,1,"PI 597823","Turkey","deflexa"
"9",1,1,2,10,"PI 597823","Turkey","deflexa"
"9",1,2,2,10,"PI 597823","Turkey","deflexa"
"9",1,3,2,10,"PI 597823","Turkey","deflexa"
"9",2,1,3,7,"PI 597823","Turkey","deflexa"
"9",2,2,3,3,"PI 597823","Turkey","deflexa"
"9",2,3,3,2,"PI 597823","Turkey","deflexa"
"9",2,1,4,10,"PI 597823","Turkey","deflexa"
"9",2,2,4,8,"PI 597823","Turkey","deflexa"
"9",2,3,4,9,"PI 597823","Turkey","deflexa"
"9",2,1,5,10,"PI 597823","Turkey","deflexa"
"9",2,2,5,10,"PI 597823","Turkey","deflexa"
"9",2,3,5,10,"PI 597823","Turkey","deflexa"
"10",1,1,1,8,"PI 649096","Iran","deflexa"
"10",1,2,1,10,"PI 649096","Iran","deflexa"
"10",1,3,1,2,"PI 649096","Iran","deflexa"
"10",1,1,2,10,"PI 649096","Iran","deflexa"
"10",1,2,2,10,"PI 649096","Iran","deflexa"
"10",1,3,2,8,"PI 649096","Iran","deflexa"
"10",2,1,3,6,"PI 649096","Iran","deflexa"
"10",2,2,3,3,"PI 649096","Iran","deflexa"
"10",2,3,3,5,"PI 649096","Iran","deflexa"
"10",2,1,4,9,"PI 649096","Iran","deflexa"
"10",2,2,4,10,"PI 649096","Iran","deflexa"
"10",2,3,4,7,"PI 649096","Iran","deflexa"
"10",2,1,5,10,"PI 649096","Iran","deflexa"
"10",2,2,5,10,"PI 649096","Iran","deflexa"
"10",2,3,5,10,"PI 649096","Iran","deflexa"
"11",1,1,1,6,"PI 633082","France","fruticulosa"
"11",1,2,1,5,"PI 633082","France","fruticulosa"
"11",1,3,1,3,"PI 633082","France","fruticulosa"
"11",1,1,2,5,"PI 633082","France","fruticulosa"
"11",1,2,2,3,"PI 633082","France","fruticulosa"
"11",1,3,2,6,"PI 633082","France","fruticulosa"
"11",2,1,3,2,"PI 633082","France","fruticulosa"
"11",2,2,3,1,"PI 633082","France","fruticulosa"
"11",2,3,3,2,"PI 633082","France","fruticulosa"
"11",2,1,4,4,"PI 633082","France","fruticulosa"
"11",2,2,4,3,"PI 633082","France","fruticulosa"
"11",2,3,4,4,"PI 633082","France","fruticulosa"
"11",2,1,5,6,"PI 633082","France","fruticulosa"
"11",2,2,5,5,"PI 633082","France","fruticulosa"
"11",2,3,5,7,"PI 633082","France","fruticulosa"
"12",1,1,1,5,"PI 597825","Algeria","fruticulosa"
"12",1,2,1,4,"PI 597825","Algeria","fruticulosa"
"12",1,3,1,3,"PI 597825","Algeria","fruticulosa"
"12",1,1,2,7,"PI 597825","Algeria","fruticulosa"
"12",1,2,2,3,"PI 597825","Algeria","fruticulosa"
"12",1,3,2,3,"PI 597825","Algeria","fruticulosa"
"12",2,1,3,1,"PI 597825","Algeria","fruticulosa"
"12",2,2,3,1,"PI 597825","Algeria","fruticulosa"
"12",2,3,3,1,"PI 597825","Algeria","fruticulosa"
"12",2,1,4,4,"PI 597825","Algeria","fruticulosa"
"12",2,2,4,2,"PI 597825","Algeria","fruticulosa"
"12",2,3,4,1,"PI 597825","Algeria","fruticulosa"
"12",2,1,5,5,"PI 597825","Algeria","fruticulosa"
"12",2,2,5,6,"PI 597825","Algeria","fruticulosa"
"12",2,3,5,3,"PI 597825","Algeria","fruticulosa"
"13",1,1,1,9,"PI 649099","Algeria","fruticulosa"
"13",1,2,1,10,"PI 649099","Algeria","fruticulosa"
"13",1,3,1,6,"PI 649099","Algeria","fruticulosa"
"13",1,1,2,10,"PI 649099","Algeria","fruticulosa"
"13",1,2,2,10,"PI 649099","Algeria","fruticulosa"
"13",1,3,2,10,"PI 649099","Algeria","fruticulosa"
"13",2,1,3,2,"PI 649099","Algeria","fruticulosa"
"13",2,2,3,1,"PI 649099","Algeria","fruticulosa"
"13",2,3,3,3,"PI 649099","Algeria","fruticulosa"
"13",2,1,4,5,"PI 649099","Algeria","fruticulosa"
"13",2,2,4,5,"PI 649099","Algeria","fruticulosa"
"13",2,3,4,4,"PI 649099","Algeria","fruticulosa"
"13",2,1,5,9,"PI 649099","Algeria","fruticulosa"
"13",2,2,5,10,"PI 649099","Algeria","fruticulosa"
"13",2,3,5,2,"PI 649099","Algeria","fruticulosa"
"14",1,1,1,4,"PI 662590","Algeria","gravinae"
"14",1,2,1,2,"PI 662590","Algeria","gravinae"
"14",1,3,1,1,"PI 662590","Algeria","gravinae"
"14",1,1,2,8,"PI 662590","Algeria","gravinae"
"14",1,2,2,1,"PI 662590","Algeria","gravinae"
"14",1,3,2,4,"PI 662590","Algeria","gravinae"
"14",2,1,3,1,"PI 662590","Algeria","gravinae"
"14",2,2,3,1,"PI 662590","Algeria","gravinae"
"14",2,3,3,1,"PI 662590","Algeria","gravinae"
"14",2,1,4,1,"PI 662590","Algeria","gravinae"
"14",2,2,4,2,"PI 662590","Algeria","gravinae"
"14",2,3,4,2,"PI 662590","Algeria","gravinae"
"14",2,1,5,2,"PI 662590","Algeria","gravinae"
"14",2,2,5,2,"PI 662590","Algeria","gravinae"
"14",2,3,5,5,"PI 662590","Algeria","gravinae"
"15",1,1,1,6,"PI 662583","Algeria","gravinae"
"15",1,2,1,5,"PI 662583","Algeria","gravinae"
"15",1,3,1,4,"PI 662583","Algeria","gravinae"
"15",1,1,2,4,"PI 662583","Algeria","gravinae"
"15",1,2,2,2,"PI 662583","Algeria","gravinae"
"15",1,3,2,5,"PI 662583","Algeria","gravinae"
"15",2,1,3,1,"PI 662583","Algeria","gravinae"
"15",2,2,3,1,"PI 662583","Algeria","gravinae"
"15",2,3,3,1,"PI 662583","Algeria","gravinae"
"15",2,1,4,1,"PI 662583","Algeria","gravinae"
"15",2,2,4,1,"PI 662583","Algeria","gravinae"
"15",2,3,4,1,"PI 662583","Algeria","gravinae"
"15",2,1,5,4,"PI 662583","Algeria","gravinae"
"15",2,2,5,1,"PI 662583","Algeria","gravinae"
"15",2,3,5,1,"PI 662583","Algeria","gravinae"
"16",1,1,1,NA,"PI 597827","Algeria","gravinae"
"16",1,2,1,5,"PI 597827","Algeria","gravinae"
"16",1,3,1,6,"PI 597827","Algeria","gravinae"
"16",1,1,2,NA,"PI 597827","Algeria","gravinae"
"16",1,2,2,3,"PI 597827","Algeria","gravinae"
"16",1,3,2,7,"PI 597827","Algeria","gravinae"
"16",2,1,3,5,"PI 597827","Algeria","gravinae"
"16",2,2,3,2,"PI 597827","Algeria","gravinae"
"16",2,3,3,1,"PI 597827","Algeria","gravinae"
"16",2,1,4,7,"PI 597827","Algeria","gravinae"
"16",2,2,4,2,"PI 597827","Algeria","gravinae"
"16",2,3,4,2,"PI 597827","Algeria","gravinae"
"16",2,1,5,3,"PI 597827","Algeria","gravinae"
"16",2,2,5,2,"PI 597827","Algeria","gravinae"
"16",2,3,5,2,"PI 597827","Algeria","gravinae"
"17",1,1,1,7,"PI 633117","Algeria","maurorum"
"17",1,2,1,9,"PI 633117","Algeria","maurorum"
"17",1,3,1,6,"PI 633117","Algeria","maurorum"
"17",1,1,2,10,"PI 633117","Algeria","maurorum"
"17",1,2,2,10,"PI 633117","Algeria","maurorum"
"17",1,3,2,8,"PI 633117","Algeria","maurorum"
"17",2,1,3,4,"PI 633117","Algeria","maurorum"
"17",2,2,3,2,"PI 633117","Algeria","maurorum"
"17",2,3,3,3,"PI 633117","Algeria","maurorum"
"17",2,1,4,7,"PI 633117","Algeria","maurorum"
"17",2,2,4,8,"PI 633117","Algeria","maurorum"
"17",2,3,4,5,"PI 633117","Algeria","maurorum"
"17",2,1,5,9,"PI 633117","Algeria","maurorum"
"17",2,2,5,8,"PI 633117","Algeria","maurorum"
"17",2,3,5,8,"PI 633117","Algeria","maurorum"
"18",1,1,1,8,"PI 649157","Portugal","oxyrrhina"
"18",1,2,1,9,"PI 649157","Portugal","oxyrrhina"
"18",1,3,1,9,"PI 649157","Portugal","oxyrrhina"
"18",1,1,2,9,"PI 649157","Portugal","oxyrrhina"
"18",1,2,2,10,"PI 649157","Portugal","oxyrrhina"
"18",1,3,2,10,"PI 649157","Portugal","oxyrrhina"
"18",2,1,3,2,"PI 649157","Portugal","oxyrrhina"
"18",2,2,3,4,"PI 649157","Portugal","oxyrrhina"
"18",2,3,3,3,"PI 649157","Portugal","oxyrrhina"
"18",2,1,4,4,"PI 649157","Portugal","oxyrrhina"
"18",2,2,4,7,"PI 649157","Portugal","oxyrrhina"
"18",2,3,4,7,"PI 649157","Portugal","oxyrrhina"
"18",2,1,5,10,"PI 649157","Portugal","oxyrrhina"
"18",2,2,5,9,"PI 649157","Portugal","oxyrrhina"
"18",2,3,5,10,"PI 649157","Portugal","oxyrrhina"
"19",1,1,1,7,"PI 662687","Taiwan","rapa"
"19",1,2,1,2,"PI 662687","Taiwan","rapa"
"19",1,3,1,6,"PI 662687","Taiwan","rapa"
"19",1,1,2,7,"PI 662687","Taiwan","rapa"
"19",1,2,2,1,"PI 662687","Taiwan","rapa"
"19",1,3,2,6,"PI 662687","Taiwan","rapa"
"19",2,1,3,1,"PI 662687","Taiwan","rapa"
"19",2,2,3,2,"PI 662687","Taiwan","rapa"
"19",2,3,3,2,"PI 662687","Taiwan","rapa"
"19",2,1,4,3,"PI 662687","Taiwan","rapa"
"19",2,2,4,5,"PI 662687","Taiwan","rapa"
"19",2,3,4,4,"PI 662687","Taiwan","rapa"
"19",2,1,5,4,"PI 662687","Taiwan","rapa"
"19",2,2,5,6,"PI 662687","Taiwan","rapa"
"19",2,3,5,4,"PI 662687","Taiwan","rapa"
"20",1,1,1,10,"PI 662688","Japan","rapa"
"20",1,2,1,9,"PI 662688","Japan","rapa"
"20",1,3,1,5,"PI 662688","Japan","rapa"
"20",1,1,2,10,"PI 662688","Japan","rapa"
"20",1,2,2,10,"PI 662688","Japan","rapa"
"20",1,3,2,10,"PI 662688","Japan","rapa"
"20",2,1,3,2,"PI 662688","Japan","rapa"
"20",2,2,3,2,"PI 662688","Japan","rapa"
"20",2,3,3,3,"PI 662688","Japan","rapa"
"20",2,1,4,5,"PI 662688","Japan","rapa"
"20",2,2,4,5,"PI 662688","Japan","rapa"
"20",2,3,4,7,"PI 662688","Japan","rapa"
"20",2,1,5,8,"PI 662688","Japan","rapa"
"20",2,2,5,9,"PI 662688","Japan","rapa"
"20",2,3,5,9,"PI 662688","Japan","rapa"
"21",1,1,1,10,"PI 508408","South Korea","rapa"
