ID #,Accession,Origin,Species
S24-1,PI 613125,Spain,Brassica carinata
S24-2,PI 613128,Spain,Brassica carinata
S24-3,PI 596534,Spain,Brassica carinata
S24-4,PI 596535,Spain,Brassica carinata
S24-5,PI 633080,Zambia,Brassica carinata
S24-6,PI 597822,Sweden,Brassica carinata
S24-7,PI 633075,Tanzania,Brassica carinata
S24-8,PI 633076,Kenya,Brassica carinata
S24-9,PI 597823,Turkey,Brassica deflexa 
S24-10,PI 649096,Iran,Brassica deflexa 
S24-11,PI 633082,France,Brassica fruticulosa 
S24-12,PI 597825,Algeria,Brassica fruticulosa 
S24-13,PI 649099,Algeria,Brassica fruticulosa 
S24-14,PI 662590,Algeria,Brassica gravinae 
S24-15,PI 662583,Algeria,Brassica gravinae 
S24-16,PI 597827,Algeria,Brassica gravinae 
S24-17,PI 633117,Algeria,Brassica maurorum 
S24-18,PI 649157,Portugal,Brassica oxyrrhina 
S24-19,PI 662687,Taiwan,Brassica rapa 
S24-20,PI 662688,Japan,Brassica rapa 
S24-21,PI 508408,South Korea,Brassica rapa 
S24-22,PI 662558,China,Brassica rapa 
S24-23,PI 687052,China,Brassica rapa 
S24-24,PI 662557,China,Brassica rapa 
S24-25,PI 662556,China,Brassica rapa 
S24-26,PI 662553,China,Brassica rapa 
S24-27,PI 662550,China,Brassica rapa 
S24-28,PI 662545,China,Brassica rapa 
S24-29,PI 633163,Sweden,Brassica rapa 
S24-30,PI 633169,Cuba,Brassica rapa 
S24-31,PI 597831,Egypt,Brassica rapa 
S24-32,PI 687065,India,Brassica rapa 
S24-33,G 30212,Spain,Brassica rapa 
S24-34,PI 633166,Nepal,Brassica rapa 
S24-35,PI 234600,Australia,Brassica rapa 
S24-36,PI 279857,Japan,Brassica rapa 
S24-37,PI 418959,China,Brassica rapa 
S24-38,PI 418958,China,Brassica rapa 
S24-39,PI 418957,China,Brassica rapa 
S24-40,PI 419074,China,Brassica rapa 
S24-41,PI 419069,China,Brassica rapa 
S24-42,PI 419028,China,Brassica rapa 
S24-43,PI 419027,China,Brassica rapa 
S24-44,PI 418987,China,Brassica rapa 
S24-45,PI 508429,South Korea,Brassica rapa 
S24-46,PI 508427,South Korea,Brassica rapa 
S24-47,PI 508416,South Korea,Brassica rapa 
S24-48,PI 508428,South Korea,Brassica rapa 
S24-49,PI 508425,South Korea,Brassica rapa 
S24-50,PI 508424,South Korea,Brassica rapa 
S24-51,PI 508420,South Korea,Brassica rapa 
S24-52,PI 508417,South Korea,Brassica rapa 
S24-53,PI 508422,South Korea,Brassica rapa 
S24-54,PI 508430,South Korea,Brassica rapa 
S24-55,PI 687129,United States,Brassica oleracea 
S24-56,PI 662840,Portugal,Brassica oleracea 
S24-57,PI 662586,Spain,Brassica oleracea 
S24-58,PI 662667,United Kingdom,Brassica oleracea 
S24-59,PI 320915,Hungary,Brassica oleracea 
S24-60,PI 169054,Turkey,Brassica oleracea 
S24-61,PI 171533,Turkey,Brassica oleracea 
S24-62,PI 143351,Iran,Brassica oleracea 
S24-63,PI 143358,Iran,Brassica oleracea 
S24-64,PI 141572,Iran,Brassica oleracea 
S24-65,PI 441511,Brazil,Brassica oleracea 
S24-66,PI 687080,Taiwan,Brassica oleracea 
S24-67,PI 662561,Netherlands,Brassica oleracea 
S24-68,PI 662538,Yemen,Brassica oleracea 
S24-69,PI 694037,Italy,Brassica oleracea 
S24-70,PI 508410,South Korea,Brassica oleracea 
S24-71,PI 662707,United Kingdom,Brassica oleracea 
S24-72,PI 443022,Norway,Brassica oleracea 
S24-73,PI 385953,Kenya,Brassica oleracea 
S24-74,PI 385954,Kenya,Brassica oleracea 
S24-75,PI 384428,India,Brassica oleracea 
S24-76,PI 372864,Denmark,Brassica oleracea 
S24-77,PI 662518,Netherlands,Brassica oleracea 
S24-78,PI 343480,United Kingdom,Brassica oleracea 
S24-79,PI 183214,Egypt,Brassica oleracea 
S24-80,PI 291567,Egypt,Brassica oleracea 
S24-81,PI 267721,United States,Brassica oleracea 
S24-82,PI 264331,Spain,Brassica oleracea 
S24-83,PI 244830,United States,Brassica oleracea 
S24-84,PI 241611,Australia,Brassica oleracea 
S24-85,PI 189028,Puerto Rico,Brassica oleracea 
S24-86,PI 188561,Colombia,Brassica oleracea 
S24-87,PI 662560,Poland,Brassica oleracea 
S24-88,PI 687095,United Kingdom,Brassica oleracea 
S24-89,PI 263057,Russia,Brassica oleracea 
S24-90,PI 687064,Kazakhstan,Brassica oleracea 
S24-91,PI 249534,Spain,Brassica oleracea 
S24-92,PI 209942,Australia,Brassica oleracea 
S24-93,PI 261775,France,Brassica oleracea 
S24-94,G 30714,United Kingdom,Brassica oleracea 
S24-95,PI 343674,Germany,Brassica oleracea 
S24-96,PI 662661,United Kingdom,Brassica oleracea 
S24-97,PI 662581,Canada,Brassica oleracea 
S24-98,G 28880,Italy,Brassica oleracea 
S24-99,PI 141576,Iran,Brassica oleracea 
S24-100,PI 662712,Italy,Brassica oleracea 
S24-101,PI 687047,Italy,Brassica oleracea 
S24-102,PI 662531,Italy,Brassica oleracea 
S24-103,PI 687082,Taiwan,Brassica oleracea 
S24-104,PI 687055,United States,Brassica oleracea 
S24-105,PI 687041,United States,Brassica oleracea 
S24-106,PI 662792,Armenia,Brassica oleracea 
S24-107,PI 662641,Kazakhstan,Brassica oleracea 
S24-108,PI 687074,Taiwan,Brassica oleracea 
S24-109,PI 662705,Serbia,Brassica oleracea 
S24-110,PI 687048,China,Brassica oleracea 
S24-111,PI 688226,United Kingdom,Brassica oleracea 
S24-112,PI 507854,Hungary,Brassica oleracea 
S24-113,PI 508411,South Korea,Brassica oleracea 
S24-114,PI 508413,South Korea,Brassica oleracea 
S24-115,PI 414936,South Africa,Brassica oleracea 
S24-116,PI 379108,North Macedonia,Brassica oleracea 
S24-117,PI 372913,Japan,Brassica oleracea 
S24-118,PI 358284,Ethiopia,Brassica oleracea 
S24-119,PI 344065,Turkey,Brassica oleracea 
S24-120,PI 343488,Sweden,Brassica oleracea 
S24-121,PI 343489,Uzbekistan,Brassica oleracea 
S24-122,PI 343494,Kazakhstan,Brassica oleracea 
S24-123,PI 343514,Romania,Brassica oleracea 
S24-124,PI 343529,Ukraine,Brassica oleracea 
S24-125,PI 343536,Georgia,Brassica oleracea 
S24-126,PI 343537,Armenia,Brassica oleracea 
S24-127,PI 343560,Bulgaria,Brassica oleracea 
S24-128,PI 343565,China,Brassica oleracea 
S24-129,PI 343576,Czech Republic,Brassica oleracea 
S24-130,PI 343630,Japan,Brassica oleracea 
S24-131,PI 343646,Netherlands,Brassica oleracea 
S24-132,PI 343664,Norway,Brassica oleracea 
S24-133,PI 343666,Serbia,Brassica oleracea 
S24-134,PI 303629,South Africa,Brassica oleracea 
S24-135,PI 302985,Canada,Brassica oleracea 
S24-136,PI 296331,South Africa,Brassica oleracea 
S24-137,PI 296209,United States,Brassica oleracea 
S24-138,PI 296132,United States,Brassica oleracea 
S24-139,PI 291998,Israel,Brassica oleracea 
S24-140,PI 289697,Australia,Brassica oleracea 
S24-141,PI 280067,Scotland,Brassica oleracea 
S24-142,PI 261642,Netherlands,Brassica oleracea 
S24-143,PI 229747,Iran,Brassica oleracea 
S24-144,PI 229470,Turkey,Brassica oleracea 
S24-145,PI 212080,Afghanistan,Brassica oleracea 
S24-146,PI 204680,Turkey,Brassica oleracea 
S24-147,G 28894,China,Brassica oleracea 
S24-148,G 28893,China,Brassica oleracea 
S24-149,G 30490,China,Brassica oleracea 
S24-150,PI 165067,Turkey,Brassica oleracea 
S24-151,PI 169053,Turkey,Brassica oleracea 
S24-152,PI 169050,Turkey,Brassica oleracea 
S24-153,PI 169044,Turkey,Brassica oleracea 
S24-154,PI 171536,Turkey,Brassica oleracea 
S24-155,PI 171529,Turkey,Brassica oleracea 
S24-156,PI 478332,China,Brassica juncea 
S24-157,PI 470082,South Korea,Brassica juncea 
S24-158,PI 436559,China,Brassica juncea 
S24-159,PI 432383,Bangladesh,Brassica juncea 
S24-160,PI 662697,Japan,Brassica juncea 
S24-161,PI 633099,United States,Brassica juncea 
S24-162,PI 662735,China,Brassica juncea 
S24-163,PI 649122,United States,Brassica juncea 
S24-164,PI 458928,Canada,Brassica juncea 
S24-165,G 30990,China,Brassica juncea 
S24-166,Ames 12769,Nepal,Brassica juncea 
S24-167,Ames 31505,South Korea,Brassica juncea 
S24-168,PI 603011,India,Brassica juncea 
S24-169,PI 662769,Germany,Brassica juncea 
S24-170,PI 662777,-,Brassica juncea 
S24-171,PI 633097,China,Brassica juncea 
S24-172,PI 662736,China,Brassica juncea 
S24-173,PI 633086,Russia,Brassica juncea 
S24-174,PI 633112,Cuba,Brassica juncea 
S24-175,PI 649120,Russia,Brassica juncea 
S24-176,PI 633114,North Korea,Brassica juncea 
S24-177,PI 633100,Pakistan,Brassica juncea 
S24-178,PI 634754,United States,Brassica napus 
S24-179,PI 619618,United States,Brassica napus 
S24-180,PI 610258,United States,Brassica napus 
S24-181,PI 605719,United States,Brassica napus 
S24-182,PI 633123,Mongolia,Brassica napus 
S24-183,PI 537090,South Korea,Brassica napus 
S24-184,PI 470005,Poland,Brassica napus 
S24-185,PI 649126,Canada,Brassica napus 
S24-186,Ames 30186,Tunisia,Brassica napus 
S24-187,PI 649127,Canada,Brassica napus 
S24-188,PI 251236,Pakistan,Brassica napus 
S24-189,Ames 18510,China,Brassica napus 
S24-190,PI 597352,United States,Brassica napus 
S24-191,Ames 26635,United States,Brassica napus 
S24-192,PI 649129,Canada,Brassica napus 
S24-193,PI 633122,Italy,Brassica napus 
S24-194,PI 594321,United States,Brassica napus 
S24-195,PI 633121,Poland,Brassica napus 
S24-196,PI 597828,Algeria,Brassica napus 
S24-197,PI 632742,Poland,Brassica napus 
