,B1,B2,B3,B1,B2,B3,B1,B2,B3,B1,B2,B3,B1,B2,B3
ID,4_21_24,4_21_24,4_21_24,5_1_24,5_1_24,5_1_24,11_8_24,11_8_24,11_8_24,11_16_24,11_16_24,11_16_24,11_22_24,11_22_24,11_22_24
1,5,10,6,9,10,8,2,3,1,3,3,3,5,6,6
2,7,7,7,9,10,10,1,2,2,4,5,4,6,7,7
3,7,7,8,10,10,10,2,2,2,5,5,4,7,7,6
4,5,5,4,8,8,10,2,3,4,5,5,4,7,7,7
5,6,6,7,8,8,8,2,2,2,5,5,5,7,6,6
6,5,7,8,9,9,8,-,3,2,-,4,5,6,8,5
7,6,8,10,9,10,10,3,2,1,5,4,5,-,8,8
8,7,7,7,10,10,8,2,1,1,4,3,4,6,6,9
9,10,10,1,10,10,10,7,3,2,10,8,9,10,10,10
10,8,10,2,10,10,8,6,3,5,9,10,7,10,10,10
11,6,5,3,5,3,6,2,1,2,4,3,4,6,5,7
12,5,4,3,7,3,3,1,1,1,4,2,1,5,6,3
13,9,10,6,10,10,10,2,1,3,5,5,4,9,10,2
14,4,2,1,8,1,4,1,1,1,1,2,2,2,2,5
15,6,5,4,4,2,5,1,1,1,1,1,1,4,1,1
16,-,5,6,-,3,7,5,2,1,7,2,2,3,2,2
17,7,9,6,10,10,8,4,2,3,7,8,5,9,8,8
18,8,9,9,9,10,10,2,4,3,4,7,7,10,9,10
19,7,2,6,7,1,6,1,2,2,3,5,4,4,6,4
20,10,9,5,10,10,10,2,2,3,5,5,7,8,9,9
21,10,7,9,10,10,10,2,3,4,5,3,4,7,6,6
22,6,8,5,10,16,7,2,2,2,6,5,4,10,7,8
23,9,9,6,9,10,10,3,2,2,4,5,5,5,6,7
24,4,8,3,9,9,6,2,4,2,4,6,5,7,10,7
25,8,6,7,10,10,10,3,3,4,5,6,4,6,8,6
26,5,10,8,8,10,10,6,3,3,7,6,5,10,6,6
27,8,8,9,10,10,10,4,2,4,7,-,5,7,7,7
28,9,7,5,10,8,9,3,3,4,6,6,4,9,9,8
29,5,10,9,6,10,10,5,3,-,6,6,-,10,8,-
30,9,9,8,8,10,8,3,2,3,5,5,5,6,7,7
31,7,7,8,10,10,10,3,4,3,6,6,5,9,7,8
32,8,6,6,10,10,10,3,3,3,6,6,6,9,9,9
33,9,5,9,10,10,10,2,3,2,5,8,7,8,9,9
34,10,9,9,10,10,10,4,3,3,9,6,6,10,7,9
35,8,10,5,10,10,9,3,3,2,6,6,4,8,7,6
36,9,10,8,10,10,10,3,2,1,6,4,2,8,8,4
37,5,9,5,9,10,8,4,3,3,5,6,6,8,9,9
38,10,8,7,10,10,10,3,3,2,5,6,5,7,7,6
39,10,10,8,10,10,10,2,4,3,4,6,6,7,7,10
40,5,10,5,10,10,10,2,2,4,6,5,4,10,6,8
41,9,7,10,10,8,10,2,3,4,5,4,5,9,6,6
42,3,9,7,10,10,10,3,3,2,5,6,5,6,9,8
43,5,7,5,10,10,6,2,3,4,3,5,5,9,8,10
44,7,10,5,10,10,6,3,3,3,5,5,6,7,7,10
45,10,7,7,10,9,-,3,2,3,7,4,5,7,7,10
46,9,10,9,10,10,10,3,3,5,4,6,9,7,10,10
47,7,10,6,10,10,8,2,4,4,6,4,5,7,7,8
48,7,7,5,10,10,10,4,3,3,6,5,5,8,8,8
49,6,8,7,9,10,9,4,2,5,5,4,5,8,6,9
50,8,8,6,10,10,9,2,3,4,3,6,5,6,10,10
51,7,9,6,10,10,9,3,3,2,5,5,4,6,6,8
52,7,4,7,10,8,8,3,2,2,5,6,2,7,6,3
53,8,7,5,9,9,10,2,3,3,4,6,5,6,6,10
54,8,10,5,8,10,8,3,3,3,6,5,4,9,9,5
55,5,5,5,5,7,5,2,2,2,4,3,3,5,4,2
56,5,5,4,7,5,6,1,1,2,4,4,3,6,4,5
57,6,3,2,3,4,5,1,2,3,4,2,4,5,3,6
58,2,3,3,3,2,4,1,4,2,4,4,4,5,6,4
59,-,-,-,-,-,-,-,3,4,-,5,7,-,7,7
60,6,4,5,5,4,7,2,2,2,4,4,2,7,5,4
61,5,5,5,9,6,5,2,1,-,4,4,-,5,4,-
62,5,4,2,5,6,3,2,1,2,3,4,3,3,4,4
63,7,2,5,4,3,4,2,2,2,3,4,3,4,4,3
64,7,7,2,7,7,4,3,2,3,5,4,4,5,6,5
65,6,5,6,4,7,6,2,3,2,4,3,4,5,7,4
66,2,10,4,5,10,6,2,3,1,4,5,3,4,6,4
67,5,6,7,4,5,7,1,3,3,5,5,4,6,6,7
68,7,3,5,7,6,8,2,2,1,5,4,4,6,5,4
69,5,7,-,3,4,10,3,1,2,5,3,4,7,4,5
70,5,8,5,4,7,7,2,2,3,4,5,5,6,6,5
71,5,3,3,7,5,5,4,4,1,5,5,3,6,7,4
72,4,6,6,6,6,5,2,1,2,4,3,3,4,3,4
73,4,5,4,8,5,5,1,2,1,3,4,3,4,5,4
74,6,5,3,4,6,4,1,1,3,4,3,5,5,4,6
75,6,1,6,6,6,7,2,2,2,4,5,4,6,6,5
76,5,7,3,8,6,6,2,1,1,3,3,3,5,4,3
77,6,7,5,7,6,7,2,1,1,4,4,4,7,5,6
78,6,-,5,7,-,6,3,2,2,5,3,5,6,5,5
79,10,4,5,10,2,4,2,2,2,3,4,3,5,4,4
80,6,6,4,7,7,7,2,2,2,5,4,4,7,4,5
81,5,4,6,7,5,10,3,2,2,5,4,3,8,5,4
82,-,2,-,-,8,5,-,-,-,-,-,-,-,-,-
83,7,6,2,5,6,4,2,2,2,4,4,4,4,6,5
84,7,6,5,7,4,7,2,2,1,5,5,4,6,6,4
85,6,3,5,7,5,-,4,2,3,6,4,5,7,5,6
86,5,5,4,4,3,5,2,2,1,4,2,4,6,3,5
87,7,6,5,8,7,6,2,3,1,4,6,2,5,10,4
88,6,2,2,4,3,2,3,1,2,4,3,4,6,5,5
89,9,9,-,10,10,-,-,-,-,-,-,-,-,-,-
90,5,7,4,7,5,6,3,1,1,5,3,2,6,5,5
91,3,4,3,2,8,4,2,2,2,4,4,4,5,4,6
92,6,7,10,7,7,10,1,-,-,3,-,-,4,-,-
93,6,5,6,7,2,8,3,2,2,5,4,3,6,5,5
94,7,6,6,7,7,7,2,3,2,4,5,5,-,6,5
95,6,7,5,7,8,8,2,3,2,5,4,4,7,5,5
96,8,5,5,7,7,7,3,4,6,4,4,6,5,5,6
97,5,7,5,6,9,6,2,-,2,3,-,6,5,-,6
98,4,2,6,7,7,6,2,1,1,4,2,2,6,3,3
99,6,7,5,7,7,7,2,2,3,3,3,4,4,4,5
100,4,6,6,6,7,8,1,2,2,4,3,4,6,4,5
