Accession_ID,Season,Block,Rep,DSR
1,1,1,1,5
1,1,2,1,10
1,1,3,1,6
1,1,1,2,9
1,1,2,2,10
1,1,3,2,8
1,2,1,3,2
1,2,2,3,3
1,2,3,3,1
1,2,1,4,3
1,2,2,4,3
1,2,3,4,3
1,2,1,5,5
1,2,2,5,6
1,2,3,5,6
2,1,1,1,7
2,1,2,1,7
2,1,3,1,7
2,1,1,2,9
2,1,2,2,10
2,1,3,2,10
2,2,1,3,1
2,2,2,3,2
2,2,3,3,2
2,2,1,4,4
2,2,2,4,5
2,2,3,4,4
2,2,1,5,6
2,2,2,5,7
2,2,3,5,7
3,1,1,1,7
3,1,2,1,7
3,1,3,1,8
3,1,1,2,10
3,1,2,2,10
3,1,3,2,10
3,2,1,3,2
3,2,2,3,2
3,2,3,3,2
3,2,1,4,5
3,2,2,4,5
3,2,3,4,4
3,2,1,5,7
3,2,2,5,7
3,2,3,5,6
4,1,1,1,5
4,1,2,1,5
4,1,3,1,4
4,1,1,2,8
4,1,2,2,8
4,1,3,2,10
4,2,1,3,2
4,2,2,3,3
4,2,3,3,4
4,2,1,4,5
4,2,2,4,5
4,2,3,4,4
4,2,1,5,7
4,2,2,5,7
4,2,3,5,7
5,1,1,1,6
5,1,2,1,6
5,1,3,1,7
5,1,1,2,8
5,1,2,2,8
5,1,3,2,8
5,2,1,3,2
5,2,2,3,2
5,2,3,3,2
5,2,1,4,5
5,2,2,4,5
5,2,3,4,5
5,2,1,5,7
5,2,2,5,6
5,2,3,5,6
6,1,1,1,5
6,1,2,1,7
6,1,3,1,8
6,1,1,2,9
6,1,2,2,9
6,1,3,2,8
6,2,1,3,NA
6,2,2,3,3
6,2,3,3,2
6,2,1,4,NA
6,2,2,4,4
6,2,3,4,5
6,2,1,5,6
6,2,2,5,8
6,2,3,5,5
7,1,1,1,6
7,1,2,1,8
7,1,3,1,10
7,1,1,2,9
7,1,2,2,10
7,1,3,2,10
7,2,1,3,3
7,2,2,3,2
7,2,3,3,1
7,2,1,4,5
7,2,2,4,4
7,2,3,4,5
7,2,1,5,NA
7,2,2,5,8
7,2,3,5,8
8,1,1,1,7
8,1,2,1,7
8,1,3,1,7
8,1,1,2,10
8,1,2,2,10
8,1,3,2,8
8,2,1,3,2
8,2,2,3,1
8,2,3,3,1
8,2,1,4,4
8,2,2,4,3
8,2,3,4,4
8,2,1,5,6
8,2,2,5,6
8,2,3,5,9
9,1,1,1,10
9,1,2,1,10
9,1,3,1,1
9,1,1,2,10
9,1,2,2,10
9,1,3,2,10
9,2,1,3,7
9,2,2,3,3
9,2,3,3,2
9,2,1,4,10
9,2,2,4,8
9,2,3,4,9
9,2,1,5,10
9,2,2,5,10
9,2,3,5,10
10,1,1,1,8
10,1,2,1,10
10,1,3,1,2
10,1,1,2,10
10,1,2,2,10
10,1,3,2,8
10,2,1,3,6
10,2,2,3,3
10,2,3,3,5
10,2,1,4,9
10,2,2,4,10
10,2,3,4,7
10,2,1,5,10
10,2,2,5,10
10,2,3,5,10
11,1,1,1,6
11,1,2,1,5
11,1,3,1,3
11,1,1,2,5
11,1,2,2,3
11,1,3,2,6
11,2,1,3,2
11,2,2,3,1
11,2,3,3,2
11,2,1,4,4
11,2,2,4,3
11,2,3,4,4
11,2,1,5,6
11,2,2,5,5
11,2,3,5,7
12,1,1,1,5
12,1,2,1,4
12,1,3,1,3
12,1,1,2,7
12,1,2,2,3
12,1,3,2,3
12,2,1,3,1
12,2,2,3,1
12,2,3,3,1
12,2,1,4,4
12,2,2,4,2
12,2,3,4,1
12,2,1,5,5
12,2,2,5,6
12,2,3,5,3
13,1,1,1,9
13,1,2,1,10
13,1,3,1,6
13,1,1,2,10
13,1,2,2,10
13,1,3,2,10
13,2,1,3,2
13,2,2,3,1
13,2,3,3,3
13,2,1,4,5
13,2,2,4,5
13,2,3,4,4
13,2,1,5,9
13,2,2,5,10
13,2,3,5,2
14,1,1,1,4
14,1,2,1,2
14,1,3,1,1
14,1,1,2,8
14,1,2,2,1
14,1,3,2,4
14,2,1,3,1
14,2,2,3,1
14,2,3,3,1
14,2,1,4,1
14,2,2,4,2
14,2,3,4,2
14,2,1,5,2
14,2,2,5,2
14,2,3,5,5
15,1,1,1,6
15,1,2,1,5
15,1,3,1,4
15,1,1,2,4
15,1,2,2,2
15,1,3,2,5
15,2,1,3,1
15,2,2,3,1
15,2,3,3,1
15,2,1,4,1
15,2,2,4,1
15,2,3,4,1
15,2,1,5,4
15,2,2,5,1
15,2,3,5,1
16,1,1,1,NA
16,1,2,1,5
16,1,3,1,6
16,1,1,2,NA
16,1,2,2,3
16,1,3,2,7
16,2,1,3,5
16,2,2,3,2
16,2,3,3,1
16,2,1,4,7
16,2,2,4,2
16,2,3,4,2
16,2,1,5,3
16,2,2,5,2
16,2,3,5,2
17,1,1,1,7
17,1,2,1,9
17,1,3,1,6
17,1,1,2,10
17,1,2,2,10
17,1,3,2,8
17,2,1,3,4
17,2,2,3,2
17,2,3,3,3
17,2,1,4,7
17,2,2,4,8
17,2,3,4,5
17,2,1,5,9
17,2,2,5,8
17,2,3,5,8
18,1,1,1,8
18,1,2,1,9
18,1,3,1,9
18,1,1,2,9
18,1,2,2,10
18,1,3,2,10
18,2,1,3,2
18,2,2,3,4
18,2,3,3,3
18,2,1,4,4
18,2,2,4,7
18,2,3,4,7
18,2,1,5,10
18,2,2,5,9
18,2,3,5,10
19,1,1,1,7
19,1,2,1,2
19,1,3,1,6
19,1,1,2,7
19,1,2,2,1
19,1,3,2,6
19,2,1,3,1
19,2,2,3,2
19,2,3,3,2
19,2,1,4,3
19,2,2,4,5
19,2,3,4,4
19,2,1,5,4
19,2,2,5,6
19,2,3,5,4
20,1,1,1,10
20,1,2,1,9
20,1,3,1,5
20,1,1,2,10
20,1,2,2,10
20,1,3,2,10
20,2,1,3,2
20,2,2,3,2
20,2,3,3,3
20,2,1,4,5
20,2,2,4,5
20,2,3,4,7
20,2,1,5,8
20,2,2,5,9
20,2,3,5,9
21,1,1,1,10
21,1,2,1,7
21,1,3,1,9
21,1,1,2,10
21,1,2,2,10
21,1,3,2,10
21,2,1,3,2
21,2,2,3,3
21,2,3,3,4
21,2,1,4,5
21,2,2,4,3
21,2,3,4,4
21,2,1,5,7
21,2,2,5,6
21,2,3,5,6
22,1,1,1,6
22,1,2,1,8
22,1,3,1,5
22,1,1,2,10
22,1,2,2,NA
22,1,3,2,7
22,2,1,3,2
22,2,2,3,2
22,2,3,3,2
22,2,1,4,6
22,2,2,4,5
22,2,3,4,4
22,2,1,5,10
22,2,2,5,7
22,2,3,5,8
23,1,1,1,9
23,1,2,1,9
23,1,3,1,6
23,1,1,2,9
23,1,2,2,10
23,1,3,2,10
23,2,1,3,3
23,2,2,3,2
23,2,3,3,2
23,2,1,4,4
23,2,2,4,5
23,2,3,4,5
23,2,1,5,5
23,2,2,5,6
23,2,3,5,7
24,1,1,1,4
24,1,2,1,8
24,1,3,1,3
24,1,1,2,9
24,1,2,2,9
24,1,3,2,6
24,2,1,3,2
24,2,2,3,4
24,2,3,3,2
24,2,1,4,4
24,2,2,4,6
24,2,3,4,5
24,2,1,5,7
24,2,2,5,10
24,2,3,5,7
25,1,1,1,8
25,1,2,1,6
25,1,3,1,7
25,1,1,2,10
25,1,2,2,10
25,1,3,2,10
25,2,1,3,3
25,2,2,3,3
25,2,3,3,4
25,2,1,4,5
25,2,2,4,6
25,2,3,4,4
25,2,1,5,6
25,2,2,5,8
25,2,3,5,6
26,1,1,1,5
26,1,2,1,10
26,1,3,1,8
26,1,1,2,8
26,1,2,2,10
26,1,3,2,10
26,2,1,3,6
26,2,2,3,3
26,2,3,3,3
26,2,1,4,7
26,2,2,4,6
26,2,3,4,5
26,2,1,5,10
26,2,2,5,6
26,2,3,5,6
27,1,1,1,8
27,1,2,1,8
27,1,3,1,9
27,1,1,2,10
27,1,2,2,10
27,1,3,2,10
27,2,1,3,4
27,2,2,3,2
27,2,3,3,4
27,2,1,4,7
27,2,2,4,NA
27,2,3,4,5
27,2,1,5,7
27,2,2,5,7
27,2,3,5,7
28,1,1,1,9
28,1,2,1,7
28,1,3,1,5
28,1,1,2,10
28,1,2,2,8
28,1,3,2,9
28,2,1,3,3
28,2,2,3,3
28,2,3,3,4
28,2,1,4,6
28,2,2,4,6
28,2,3,4,4
28,2,1,5,9
28,2,2,5,9
28,2,3,5,8
29,1,1,1,5
29,1,2,1,10
29,1,3,1,9
29,1,1,2,6
29,1,2,2,10
29,1,3,2,10
29,2,1,3,5
29,2,2,3,3
29,2,3,3,NA
29,2,1,4,6
29,2,2,4,6
29,2,3,4,NA
29,2,1,5,10
29,2,2,5,8
29,2,3,5,NA
30,1,1,1,9
30,1,2,1,9
30,1,3,1,8
30,1,1,2,8
30,1,2,2,10
30,1,3,2,8
30,2,1,3,3
30,2,2,3,2
30,2,3,3,3
30,2,1,4,5
30,2,2,4,5
30,2,3,4,5
30,2,1,5,6
30,2,2,5,7
30,2,3,5,7
31,1,1,1,7
31,1,2,1,7
31,1,3,1,8
31,1,1,2,10
31,1,2,2,10
31,1,3,2,10
31,2,1,3,3
31,2,2,3,4
31,2,3,3,3
31,2,1,4,6
31,2,2,4,6
31,2,3,4,5
31,2,1,5,9
31,2,2,5,7
31,2,3,5,8
32,1,1,1,8
32,1,2,1,6
32,1,3,1,6
32,1,1,2,10
32,1,2,2,10
32,1,3,2,10
32,2,1,3,3
32,2,2,3,3
32,2,3,3,3
32,2,1,4,6
32,2,2,4,6
32,2,3,4,6
32,2,1,5,9
32,2,2,5,9
