"Accession_ID","Species","Avg_DSR"
"14","gravinae",2.46666666666667
"15","gravinae",2.53333333333333
"127","oleracea",3.13333333333333
"12","fruticulosa",3.26666666666667
"58","oleracea",3.4
"62","oleracea",3.4
"63","oleracea",3.46666666666667
"88","oleracea",3.46666666666667
"112","oleracea",3.53333333333333
"129","oleracea",3.53333333333333
"151","oleracea",3.53333333333333
"57","oleracea",3.53333333333333
"102","oleracea",3.6
"16","gravinae",3.61538461538462
"86","oleracea",3.66666666666667
"132","oleracea",3.73333333333333
"137","oleracea",3.73333333333333
"143","oleracea",3.73333333333333
"150","oleracea",3.73333333333333
"98","oleracea",3.73333333333333
"115","oleracea",3.8
"91","oleracea",3.8
"124","oleracea",3.86666666666667
"133","oleracea",3.86666666666667
"73","oleracea",3.86666666666667
"146","oleracea",3.93333333333333
"152","oleracea",3.93333333333333
"55","oleracea",3.93333333333333
"72","oleracea",3.93333333333333
"121","oleracea",4
"153","oleracea",4
"19","rapa",4
"74","oleracea",4
"76","oleracea",4
"139","oleracea",4.06666666666667
"111","oleracea",4.07142857142857
"123","oleracea",4.07692307692308
"148","oleracea",4.11111111111111
"11","fruticulosa",4.13333333333333
"56","oleracea",4.13333333333333
"60","oleracea",4.2
"83","oleracea",4.2
"122","oleracea",4.26666666666667
"134","oleracea",4.26666666666667
"79","oleracea",4.26666666666667
"107","oleracea",4.33333333333333
"128","oleracea",4.33333333333333
"149","oleracea",4.33333333333333
"90","oleracea",4.33333333333333
"114","oleracea",4.4
"117","oleracea",4.4
"131","oleracea",4.4
"141","oleracea",4.4
"155","oleracea",4.4
"147","oleracea",4.46153846153846
"108","oleracea",4.46666666666667
"110","oleracea",4.46666666666667
"144","oleracea",4.46666666666667
"71","oleracea",4.46666666666667
"69","oleracea",4.5
"100","oleracea",4.53333333333333
"116","oleracea",4.53333333333333
"65","oleracea",4.53333333333333
"75","oleracea",4.53333333333333
"61","oleracea",4.58333333333333
"120","oleracea",4.6
"154","oleracea",4.6
"66","oleracea",4.6
"68","oleracea",4.6
"93","oleracea",4.6
"99","oleracea",4.6
"78","oleracea",4.61538461538461
"130","oleracea",4.66666666666667
"101","oleracea",4.73333333333333
"103","oleracea",4.73333333333333
"135","oleracea",4.73333333333333
"138","oleracea",4.73333333333333
"64","oleracea",4.73333333333333
"84","oleracea",4.73333333333333
"136","oleracea",4.8
"77","oleracea",4.8
"80","oleracea",4.8
"85","oleracea",4.85714285714286
"109","oleracea",4.86666666666667
"81","oleracea",4.86666666666667
"67","oleracea",4.93333333333333
"70","oleracea",4.93333333333333
"113","oleracea",5
"119","oleracea",5
"82","oleracea",5
"105","oleracea",5.06666666666667
"87","oleracea",5.06666666666667
"118","oleracea",5.13333333333333
"94","oleracea",5.14285714285714
"97","oleracea",5.16666666666667
"104","oleracea",5.2
"95","oleracea",5.2
"1","carinata",5.33333333333333
"52","rapa",5.33333333333333
"191","napus",5.46666666666667
"96","oleracea",5.46666666666667
"125","oleracea",5.5
"59","oleracea",5.5
"145","oleracea",5.53333333333333
"5","carinata",5.53333333333333
"140","oleracea",5.6
"4","carinata",5.6
"126","oleracea",5.66666666666667
"8","carinata",5.66666666666667
"187","napus",5.69230769230769
"24","rapa",5.73333333333333
"170","juncea",5.8
"22","rapa",5.85714285714286
"2","carinata",5.86666666666667
"142","oleracea",5.93333333333333
"193","napus",5.93333333333333
"106","oleracea",6
"190","napus",6
"195","napus",6.06666666666667
"6","carinata",6.07692307692308
"92","oleracea",6.11111111111111
"167","juncea",6.13333333333333
"23","rapa",6.13333333333333
"3","carinata",6.13333333333333
"43","rapa",6.13333333333333
"162","juncea",6.2
"166","juncea",6.2
"183","napus",6.2
"51","rapa",6.2
"53","rapa",6.2
"179","napus",6.26666666666667
"157","juncea",6.33333333333333
"192","napus",6.33333333333333
"30","rapa",6.33333333333333
"36","rapa",6.33333333333333
"7","carinata",6.35714285714286
"13","fruticulosa",6.4
"169","juncea",6.4
"182","napus",6.4
"185","napus",6.4
"21","rapa",6.4
"25","rapa",6.4
"42","rapa",6.4
"54","rapa",6.4
"35","rapa",6.46666666666667
"40","rapa",6.46666666666667
"44","rapa",6.46666666666667
"49","rapa",6.46666666666667
"163","juncea",6.5
"45","rapa",6.5
"177","juncea",6.53333333333333
"180","napus",6.53333333333333
"41","rapa",6.53333333333333
"47","rapa",6.53333333333333
"184","napus",6.53846153846154
"181","napus",6.57142857142857
"172","juncea",6.6
"173","juncea",6.6
"186","napus",6.6
"37","rapa",6.6
"38","rapa",6.6
"48","rapa",6.6
"156","juncea",6.66666666666667
"161","juncea",6.66666666666667
"178","napus",6.66666666666667
"28","rapa",6.66666666666667
"50","rapa",6.66666666666667
"168","juncea",6.71428571428571
"160","juncea",6.86666666666667
"174","juncea",6.86666666666667
"176","juncea",6.86666666666667
"26","rapa",6.86666666666667
"31","rapa",6.86666666666667
"158","juncea",6.93333333333333
"17","maurorum",6.93333333333333
"175","juncea",6.93333333333333
"20","rapa",6.93333333333333
"32","rapa",6.93333333333333
"164","juncea",7
"27","rapa",7
"33","rapa",7.06666666666667
"39","rapa",7.13333333333333
"171","juncea",7.2
"196","napus",7.30769230769231
"189","napus",7.33333333333333
"29","rapa",7.33333333333333
"18","oxyrrhina",7.4
"165","juncea",7.53333333333333
"34","rapa",7.66666666666667
"46","rapa",7.66666666666667
"194","napus",7.83333333333333
"10","deflexa",7.86666666666667
"197","napus",7.88888888888889
"188","napus",8
"9","deflexa",8
"159","juncea",9.5
"89","oleracea",9.5
